time,intensity1,temp1,intensity2,temp2
0.0017687755021999997,-1869210674555183e16,623501567392727e6,-39458883719405855e15,13162066845392705e5
0.0017987547479999997,-1867972162920702e16,623088444379979e6,-3877809599283989e16,1293498050335872e6
0.0018287339937999997,-18667406219686905e15,6226776465366218e5,-3810841559917586e16,12711599168774236e5
0.0018587132395999997,-18655228023054999e15,6222714256225551e5,-3744898260342856e16,1249163599820398e6
0.0018886924853999997,-18643138799056808e15,6218681725160946e5,-36800147235354094e15,1227520781571966e6
0.0019186717311999997,-1863108023815133e16,6214659422203119e5,-36162328177776233e15,12062454278878564e5
0.0019486509769999997,-18619229351254984e15,6210706391838243e5,-3553362403203436e16,11852741149356849e5
0.0019786302227999997,-18607403665467838e15,6206761767658556e5,-34915681748176084e15,11646617790556984e5
0.0020086094685999997,-18595551829684575e15,6202808420779075e5,-34308801512233445e15,11444184333761137e5
0.0020385887143999997,-18583564640308658e15,6198809924800927e5,-3371378792499957e16,11245709164904863e5
0.0020685679601999997,-18571717451066187e15,6194858127840621e5,-3312789376089333e16,11050275908172887e5
0.0020985472059999997,-18559662678158058e15,6190837088422703e5,-32554100324588757e15,10858879019761313e5
0.0021285264517999997,-18546977783967393e15,6186605863169309e5,-3199584017152944e16,10672663476920899e5
0.0021585056975999997,-18533976921283e18,6182269242171194e5,-31449953654343396e15,10490575334734867e5
0.0021884849433999997,-18520705568624962e15,617784239542976e6,-3091575286730244e16,1031238513255141e6
0.0022184641891999997,-18507561883600096e15,6173458134026871e5,-30389639643350855e15,10136892651032217e5
0.0022484434349999997,-18494242088714917e15,6169015128697771e5,-2987400207998702e16,9964894473758579e5
0.0022784226807999997,-18480791322409134e15,616452843600526e6,-29368248843051603e15,979619335288668e6
0.0023084019265999997,-18467107190900573e15,6159963901060035e5,-2887298973715936e16,9630992697341089e5
0.0023383811723999997,-18453551636526218e15,6155442254830244e5,-2838515663130277e16,946826908877833e6
0.0023683604181999997,-18440247347894335e15,6151004421830494e5,-2790370991948458e16,9307675751964571e5
0.0023983396639999997,-18426821366070935e15,6146525996351425e5,-274314224285141e17,9150137602365598e5
0.0024283189097999997,-1841306633255744e16,6141937811043076e5,-2696965069844204e16,8996107133036026e5
0.0024582981555999997,-18399492284282588e15,6137409995912099e5,-2651440203349843e16,8844252524023944e5
0.0024882774013999997,-18385741325611581e15,6132823169824897e5,-26068184757482064e15,869541046208776e6
0.0025182566471999997,-18372155374595097e15,6128291384366677e5,-25628380056065227e15,854870740479576e6
0.0025482358929999997,-18358705980199297e15,612380514929408e6,-25195113008456403e15,8404185074080948e5
0.0025782151387999997,-18345365007014062e15,6119355079644483e5,-24768494250998837e15,8261880374255055e5
0.0026081943845999997,-18331885801051282e15,611485890050352e6,-24350097859126435e15,8122318360365966e5
0.0026381736303999997,-1831859643942743e16,6110426046617698e5,-23937574069270927e15,7984715235655101e5
0.0026681528761999997,-18305685810585462e15,6106119524389588e5,-2352962741911902e16,7848638880408063e5
0.0026981321219999997,-1829301360008988e16,6101892529961468e5,-23127159235755297e15,7714389944978299e5
0.0027281113677999997,-18280694764879675e15,609778340884068e6,-2272939682507076e16,7581710686354476e5
0.0027580906135999997,-18268373951785438e15,6093673627968796e5,-2233853937124063e16,7451334673416175e5
